codigo_producto,nombre,descripcion
3014,DESODORANTE FLORAL 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
3017,DESODORANTE LAVANDA 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
3019,DESODORANTE LIMON 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
3020,DESODORANTE LYSOFORM 1+80 LT DE AGUA,"Desodorante de ambientes concentrado, marca Química VM, concentrado 1+80 (1 L de producto + 80 L de agua), precio por litro."
3025,DESODORANTE PINO 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
3026,DESODORANTE POETT 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
4001,DETERGENTE 30% QUIMICA VM (1LT + 2LT DE AGUA) — 20 L,"Detergente para vajilla, marca Química VM, 20 L, precio por litro."
4002,DETERGENTE CRISTAL VERDE L.P.U. — 5 L,"Detergente para vajilla, marca Química VM, 5 L, listo para usar, precio por litro."
4003,DETERGENTE CRISTAL LIMON L.P.U. — 5 L,"Detergente para vajilla, marca Química VM, 5 L, listo para usar, precio por litro."
4005,DETERGENTE NACARADO L.P.U. (PARA PIEL SENSIBLE) — 5 L,"Detergente para vajilla, marca Química VM, 5 L, listo para usar, precio por litro."
4006,DETERGENTE TIPO MAGISTRAL L.P.U. — 5 L,"Detergente para vajilla, tipo MAGISTRAL L.P.U, marca Química VM, 5 L, listo para usar, precio por litro."
4007,DETERGENTE BIOACTIVE L.P.U. — 5 L,"Detergente para vajilla, marca Química VM, 5 L, listo para usar, precio por litro."
5001,ADITIVO PERFUMANTE P/ LAVANDINA POR LITRO L.P.U. (1 PARA 20 Lt DE LAVANDINA) — 1 L,"Aditivo perfume para lavandina, marca Química VM, 1 L, listo para usar, precio por litro."
5002,CLORO PURO 100% — 5 L,"Lavandina / cloro, marca Química VM, 5 L, precio por litro."
5003,LAVANDINA 50% L.P.U. (TIPO AYUDIN) — 5 L,"Lavandina / cloro, tipo AYUDIN, marca Química VM, 5 L, listo para usar, precio por litro."
5004,CREOLINA TIPO FLUIDO CONCENTRADA X 1LT (PARA HACER 10LT) (ENVASADO X1LT),"Insecticida / derribante, tipo FLUIDO CONCENTRADA X 1LT (PARA HACER 10LT, marca Química VM, precio por litro."
5006,DERRIBANTE MARRON/TRANSPARENTE CONC. X 1 (PARA HACER 140LT),"Insecticida / derribante, marca Química VM, venta a granel, línea Química VM Villa María."
5009,INSECTICIDA TIPO FLIT L.P.U,"Insecticida / derribante, tipo FLIT L.P.U, marca Química VM, listo para usar, precio por litro."
5010,REPELENTE PERROS Y GATOS L.P.U.,"Repelente, marca Química VM, listo para usar, precio por litro."
5011,REPELENTE DE INSECTOS CITRONELLA X 1LT (BOTELLA),"Repelente, marca Química VM, venta a granel, línea Química VM Villa María."
6002,DESENGRASANTE LIMON L.P.U. — 5 L,"Desengrasante, marca Química VM, 5 L, listo para usar, precio por litro."
6003,DESENGRASANTE NARANJA T/MR MÚSCULO L.P.U.,"Desengrasante, marca Química VM, listo para usar, precio por litro."
6005,DESENGRASANTE ROJO L.P.U.,"Desengrasante, marca Química VM, listo para usar, precio por litro."
6006,DESTAPA CAÑERIAS L.P.U.,"Destapa cañerías, marca Química VM, listo para usar, precio por litro."
6007,LAVANDINA EN GEL L.P.U.,"Lavandina en gel, marca Química VM, listo para usar, precio por litro."
6008,LIMPIA ALFOMBRAS Y TAPIZADOS L.P.U.,"Limpia alfombras y tapizados, marca Química VM, listo para usar, precio por litro."
6009,LIMPIA HORNOS L.P.U.,"Limpia hornos, marca Química VM, listo para usar, precio por litro."
6010,LIMPIA INODOROS L.P.U.,"Limpia inodoros, marca Química VM, listo para usar, precio por litro."
6011,LIMPIAVIDRIO CONC. (1LT PARA HACER 10LT),"Limpiavidrios concentrado, marca Química VM, venta a granel, línea Química VM Villa María."
6013,LUSTRAMUEBLES CREMOSO L.P.U.,"Lustramuebles, marca Química VM, listo para usar, precio por litro."
6015,QUITASARRO LIQUIDO L.P.U.,"Quitasarro líquido, marca Química VM, listo para usar, precio por litro."
7001,CARCLEAN MAX DESENGRASANTE LAVACARROCERIA SIN FROTAR 1+9 1LT,"Desengrasante lava carrocería, marca CarClean, concentrado 1+9 (1 L de producto + 9 L de agua), precio por litro."
7007,DESENGRASANTE DE MOTOR L.P.U.,"Desengrasante de motor, marca Química VM, listo para usar, precio por litro."
7008,DESENGRASANTE LAVA CARROCERIA L.P.U. (LAVA FACIL),"Desengrasante lava carrocería, marca Química VM, listo para usar, precio por litro."
7010,LIQUIDO LIMPIA PARABRISAS L.P.U.,"Limpia parabrisas, marca Química VM, listo para usar, precio por litro."
7012,PERFUME AUTO X1LT L.P.U. (ENVASADO X1LT),"Perfume ambiental, marca Química VM, listo para usar, precio por litro."
7014,RENOVADOR DE CAUCHO PLUS NEGRO L.P.U. NUEVA FÓRMULA + BRILLO + COLOR,"Renovador automotor, marca Química VM, listo para usar, precio por litro."
7015,SHAMPOO PARA AUTO SILICONADO L.P.U.,"Shampoo para auto, marca Química VM, listo para usar, precio por litro."
8001,ALGUICIDA (1LT EN 100.000 LT DE AGUA) L.P.U.,"Alguicida para pileta, marca Química VM, listo para usar, precio por litro."
8002,ALGUICIDA PARA HONGO NEGRO (1LT EN 100.000 LT DE AGUA) L.P.U.,"Alguicida para pileta, marca Química VM, listo para usar, precio por litro."
8003,CLARIFICANTE Y PRECIPITANTE (1LT EN 100.000 LT DE AGUA) L.P.U.,"Clarificante de pileta, marca Química VM, listo para usar, precio por litro."
8004,CLORO GRANULADO (DILUCIÓN RÁPIDA) — 1 kg,"Cloro para pileta, marca Química VM, 1 kg, precio por litro."
8005,PASTILLA DE CLORO TRIPLE ACCION 50 gr X1KG,"Cloro para pileta, marca Química VM, venta a granel, línea Química VM Villa María."
8008,POOL CLEAN ALGUICIDA X1LT (1 EN 100.000 LT DE AGUA),"Alguicida para pileta, marca Pool Clean, dosis 1 L en 100.000 L de agua, precio por litro."
8010,POOL CLEAN REGULADOR PH X1LT (1 EN 10.000LT DE AGUA PARA BAJAR 1 PUNTO),"Regulador de pH para pileta, marca Pool Clean, dosis 1 L en 10.000 L de agua, precio por litro."
9003,"ÁCIDO CÍTRICO ""SOAP CLEAN"" EN POLVO — 1 kg","Ácido cítrico en polvo, marca Soap Clean, 1 kg, línea Química VM Villa María."
9005,ALCOHOL EN GEL L.P.U.,"Alcohol, marca Química VM, listo para usar, precio por litro."
9006,ALCOHOL INDUSTRIAL AL 96% L.P.U.,"Alcohol, marca Química VM, listo para usar, precio por litro."
9008,"BICARBONATO DE SODIO ""SOAP CLEAN"" EN POLVO — 1 kg","Bicarbonato de sodio, marca Soap Clean, 1 kg, línea Química VM Villa María."
9018,JABON TOCADOR LIQUIDO TIPO DOVE L.P.U.,"Jabón líquido de tocador, tipo DOVE L.P.U, marca Química VM, listo para usar, precio por litro."
9026,"PERCARBONATO DE SODIO ""SOAP CLEAN"" — 1 kg","Percarbonato de sodio, marca Soap Clean, 1 kg, línea Química VM Villa María."
9028,PERFUME AMBIENTAL ENVASADO (ENVASADO X1LT) L.P.U.,"Perfume ambiental, marca Química VM, listo para usar, precio por litro."
9029,SHAMPOO PARA CABELLOS L.P.U.,"Shampoo capilar, marca Química VM, listo para usar, precio por litro."
9030,SHAMPOO PARA PERROS L.P.U. (ANTI PULGAS),"Shampoo para perros, marca Química VM, listo para usar, precio por litro."
9031,VINAGRE DE LIMPIEZA AL 5% L.P.U.,"Vinagre de limpieza, marca Química VM, listo para usar, precio por litro."
10001,BIDON DE 5L NUEVO BLANCO,"Bidón plástico, marca Química VM, venta a granel, línea Química VM Villa María."
10002,BIDON DE 10L NUEVO BLANCO,"Bidón plástico, marca Química VM, venta a granel, línea Química VM Villa María."
